,scores
0,69
1,76
2,72
3,66
4,61
5,64
6,70
7,61
8,68
9,69
10,69
11,93
12,89
13,61
14,63
15,63
16,63
17,66
18,71
19,68
20,104
21,88
22,68
23,64
24,64
25,66
26,64
27,77
28,97
29,75
30,68
31,97
32,61
33,62
34,86
35,61
36,61
37,70
38,76
39,62
40,73
41,61
42,68
43,71
44,69
45,63
46,65
47,72
48,67
49,62
50,68
51,75
52,69
53,66
54,66
55,68
56,86
57,75
58,61
59,74
60,62
61,65
62,62
63,77
64,61
65,62
66,61
67,61
68,67
69,97
70,97
71,71
72,88
73,69
74,62
75,61
76,71
77,67
78,67
79,61
80,70
81,70
82,68
83,67
84,76
85,65
86,63
87,61
88,61
89,71
90,64
91,73
92,66
93,65
94,67
95,62
96,62
97,73
98,73
99,64
