,scores
0,70
1,83
2,95
3,95
4,97
5,102
6,97
7,131
8,128
9,106
10,113
11,109
12,125
13,133
14,128
15,132
16,133
17,133
18,124
19,101
20,133
21,174
22,174
23,174
24,176
25,174
26,176
27,181
28,174
29,190
30,176
31,190
32,174
33,184
34,179
35,190
36,185
37,187
38,202
39,204
40,188
41,210
42,210
43,210
44,210
45,223
46,210
47,201
48,186
49,210
50,210
51,208
52,210
53,210
54,246
55,210
56,246
57,210
58,225
59,246
60,246
61,211
62,275
63,246
64,287
65,271
66,287
67,287
68,309
69,287
70,287
71,400
72,323
73,351
74,365
75,433
76,384
77,400
78,436
79,436
80,436
81,607
82,626
83,513
84,607
85,472
86,540
87,693
88,698
89,811
90,662
91,775
92,770
93,811
94,811
95,1037
96,1304
97,1114
98,1417
99,1449
